iter	RMSE
0	7571.227097
1	5709.305016
2	5055.253388
3	4711.687307
4	4535.481962
5	4432.504836
6	4391.938066
7	4353.761402
8	4324.423446
9	4278.675266
10	4248.742946
11	4157.026435
12	4091.806017
13	4059.865148
14	4055.099552
15	4030.474577
16	3969.952419
17	3936.073141
18	3877.075736
19	3832.797427
20	3807.265398
21	3787.830467
22	3772.723921
23	3752.935321
24	3736.419866
25	3697.950097
26	3657.515625
27	3635.209232
28	3605.710433
29	3598.894293
30	3582.825359
31	3568.918028
32	3534.098516
33	3505.923256
34	3496.536108
35	3473.316564
36	3452.190712
37	3415.849763
38	3389.582078
39	3385.900744
40	3369.570337
41	3340.994361
42	3318.080933
43	3287.31026
44	3260.505197
45	3254.057516
46	3251.228665
47	3244.951256
48	3217.716265
49	3192.426105
50	3147.465749
51	3146.233712
52	3131.53235
53	3094.037436
54	3050.611364
55	3030.806862
56	3001.574931
57	2977.64142
58	2965.133826
59	2946.974954
60	2920.664622
61	2905.19242
62	2894.883029
63	2874.025383
64	2867.515748
65	2844.086265
66	2826.127351
67	2809.003373
68	2799.509086
69	2784.264012
70	2765.780317
71	2758.220464
72	2741.486093
73	2736.897367
74	2725.153242
75	2703.915586
76	2687.086388
77	2680.593879
78	2672.844179
79	2657.230338
80	2637.263638
81	2633.135607
82	2624.983734
83	2610.392737
84	2593.010533
85	2583.01935
86	2570.596183
87	2556.428325
88	2538.487302
89	2526.853664
90	2497.838417
91	2492.552456
92	2481.248899
93	2466.787047
94	2453.953474
95	2445.148328
96	2426.27151
97	2411.386391
98	2393.835365
99	2388.728894
100	2370.049181
101	2361.345575
102	2350.794701
103	2339.630064
104	2327.292118
105	2320.293332
106	2312.291783
107	2302.830626
108	2288.839238
109	2283.219363
110	2262.342397
111	2248.350146
112	2234.1815
113	2226.667023
114	2218.185767
115	2202.897618
116	2195.975215
117	2183.112533
118	2173.474818
119	2163.424474
120	2155.905596
121	2143.619598
122	2131.244571
123	2126.115077
124	2104.73885
125	2093.618578
126	2079.093213
127	2065.395002
128	2055.785602
129	2052.088637
130	2037.679482
131	2033.65203
132	2030.07498
133	2020.758036
134	2011.803752
135	2002.319474
136	1994.119461
137	1989.690252
138	1978.649003
139	1968.750315
140	1962.529178
141	1959.040972
142	1933.252474
143	1928.17096
144	1924.967138
145	1910.818713
146	1906.73306
147	1900.685899
148	1894.480283
149	1890.333278
150	1884.843725
151	1879.308777
152	1876.65445
153	1868.369508
154	1858.323493
155	1855.300683
156	1846.999169
157	1836.652459
158	1834.49541
159	1826.808068
160	1819.779976
161	1815.532128
162	1812.080527
163	1799.28732
164	1796.310762
165	1788.331715
166	1784.791844
167	1777.350515
168	1771.54111
169	1768.46147
170	1763.214333
171	1756.677913
172	1751.906641
173	1747.389965
174	1743.319082
175	1730.431717
176	1722.008835
177	1713.28341
178	1704.618529
179	1699.622908
180	1694.504944
181	1687.446257
182	1682.451378
183	1676.446982
184	1671.54058
185	1657.491078
186	1655.944239
187	1652.011742
188	1647.310319
189	1639.744807
190	1632.772672
191	1626.735763
192	1621.387297
193	1610.832046
194	1603.98297
195	1595.254885
196	1591.381969
197	1580.558054
198	1575.355373
199	1563.588325
200	1556.77991
201	1551.839846
202	1542.164948
203	1531.944752
204	1521.105029
205	1514.03587
206	1506.440376
207	1496.55798
208	1490.541886
209	1475.25546
210	1473.869584
211	1470.705039
212	1464.031071
213	1460.968202
214	1454.874109
215	1451.550652
216	1449.849642
217	1448.460738
218	1444.089381
219	1435.7861
220	1429.242581
221	1423.832694
222	1416.032321
223	1409.441665
224	1406.569827
225	1402.166883
226	1399.821615
227	1395.026012
228	1391.436312
229	1389.592675
230	1386.869813
231	1381.920911
232	1376.564394
233	1373.672573
234	1370.465351
235	1365.899185
236	1364.616027
237	1359.10569
238	1354.525298
239	1353.359176
240	1350.551901
241	1345.03796
242	1342.576374
243	1338.033211
244	1333.744439
245	1332.344219
246	1330.723929
247	1327.304791
248	1325.448277
249	1321.259794
250	1320.374324
251	1316.732117
252	1314.288727
253	1312.314656
254	1306.378521
255	1305.393928
256	1304.288005
257	1300.881174
258	1298.99333
259	1293.575351
260	1291.992021
261	1286.534655
262	1283.402343
263	1280.763882
264	1277.031761
265	1273.024114
266	1267.536037
267	1264.668418
268	1263.657009
269	1260.730908
270	1253.212336
271	1250.803109
272	1247.334498
273	1245.205085
274	1241.642743
275	1237.984856
276	1231.855802
277	1229.553213
278	1226.371658
279	1223.886821
280	1222.241442
281	1215.209963
282	1210.769479
283	1207.92156
284	1201.423129
285	1200.826685
286	1196.323953
287	1189.982424
288	1185.765664
289	1178.627303
290	1175.978767
291	1166.107679
292	1163.447647
293	1160.352359
294	1159.691965
295	1149.492398
296	1144.741976
297	1143.594734
298	1140.402925
299	1136.490451
300	1124.218205
301	1121.233537
302	1119.003672
303	1116.550217
304	1109.839333
305	1106.470521
306	1104.313088
307	1101.956856
308	1100.555314
309	1096.900417
310	1092.75751
311	1088.404072
312	1082.233197
313	1081.8564
314	1078.895275
315	1076.39222
316	1070.74476
317	1069.046582
318	1065.703613
319	1065.001976
320	1060.759107
321	1056.703135
322	1053.188603
323	1047.955274
324	1046.663199
325	1041.880697
326	1038.526516
327	1036.654724
328	1032.243366
329	1027.097006
330	1025.951362
331	1023.764547
332	1021.57592
333	1019.846201
334	1015.196316
335	1013.542674
336	1006.550388
337	1002.385773
338	1000.880293
339	998.79966
340	998.0759732
341	995.9235335
342	992.8398658
343	989.8455167
344	987.8416033
345	985.4071622
346	982.2818046
347	979.9556695
348	977.7901339
349	976.5148287
350	972.7901509
351	970.3035222
352	968.7436839
353	966.7202076
354	959.2419951
355	956.7347853
356	955.2197974
357	953.9479338
358	951.2983009
359	948.2891367
360	944.2227204
361	940.4724914
362	939.1873868
363	936.5369062
364	936.1191784
365	935.153922
366	929.54036
367	927.9011874
368	927.109882
369	924.9692104
370	920.4271721
371	915.9463724
372	911.2290395
373	910.5645713
374	909.4146983
375	907.733506
376	904.2353497
377	901.6297906
378	899.2887642
379	898.9066588
380	895.5091889
381	892.4831819
382	890.0264497
383	888.7971576
384	888.4864878
385	887.072209
386	885.7003356
387	884.4282486
388	881.7328646
389	878.7879747
390	875.7768014
391	873.4405441
392	869.6958682
393	867.9751666
394	866.4982438
395	864.4120945
396	864.0862304
397	863.3513412
398	862.8885306
399	861.4692084
400	860.6275389
401	860.409458
402	858.8125597
403	855.350209
404	851.1111419
405	849.2724473
406	848.20565
407	847.6129283
408	845.7658055
409	845.276502
410	843.2731683
411	842.6561877
412	841.1969637
413	838.7514957
414	835.547819
415	834.6344569
416	833.8214957
417	831.4196525
418	829.9304552
419	827.2436396
420	826.2288205
421	823.3134877
422	820.0474532
423	817.2991049
424	814.7751807
425	813.4356212
426	811.0090434
427	808.5370007
428	805.4005787
429	804.9873856
430	804.1120017
431	802.0436399
432	799.7033525
433	798.6375258
434	796.9487358
435	795.8370061
436	793.6055999
437	792.7757504
438	791.4898289
439	788.7711759
440	787.818312
441	785.6192662
442	785.0099783
443	784.250263
444	783.544551
445	781.3937091
446	777.6481734
447	776.03552
448	774.8874718
449	774.195633
450	772.5133775
451	769.7172267
452	768.5247538
453	767.6890148
454	765.2100588
455	764.4872776
456	761.3659713
457	760.9956541
458	759.380473
459	757.9834868
460	756.0017333
461	755.042254
462	752.7065819
463	751.3612944
464	749.996607
465	748.6220887
466	748.0076995
467	747.0331098
468	745.355179
469	744.7148491
470	743.6573586
471	742.014317
472	740.571046
473	738.7425967
474	737.8445793
475	737.0185993
476	735.9871871
477	734.0585197
478	731.9318738
479	729.864605
480	728.6421456
481	725.0642425
482	724.7345302
483	723.1859069
484	722.7412169
485	720.9411546
486	719.6716036
487	719.0093392
488	718.2904322
489	717.3237662
490	716.901919
491	715.6510728
492	714.3394526
493	713.6739339
494	712.7861477
495	712.3024926
496	711.4378696
497	710.5789962
498	709.2810381
499	707.1898284
