iter	RMSE
0	0.8733939271
1	0.7369514173
2	0.6802803766
3	0.6301842981
4	0.6110106031
5	0.5925112789
6	0.5746110738
7	0.5685660929
8	0.5607250182
9	0.5509235835
10	0.5443628152
11	0.5375453892
12	0.5326611032
13	0.5268012195
14	0.5237849356
15	0.5187090502
16	0.5159228249
17	0.5088314738
18	0.5067215341
19	0.5012300692
20	0.4988780103
21	0.4956818147
22	0.4930889687
23	0.4880391392
24	0.4850251242
25	0.4820285109
26	0.4788557923
27	0.4761086931
28	0.4735027821
29	0.470629067
30	0.4685165017
31	0.4621026822
32	0.4597742843
33	0.4575937109
34	0.4556534513
35	0.454123447
36	0.4520228946
37	0.4504930823
38	0.4482910265
39	0.447068399
40	0.4451447259
41	0.4428715599
42	0.4413745717
43	0.4395942337
44	0.4383250785
45	0.4362405815
46	0.4346081679
47	0.4336425925
48	0.4325601958
49	0.4311874005
50	0.4289378862
51	0.4276673384
52	0.4258849187
53	0.4246835947
54	0.4232095004
55	0.4213208662
56	0.419751776
57	0.4185588534
58	0.4173866675
59	0.4160399135
60	0.415140032
61	0.4143573048
62	0.4125234072
63	0.4112391301
64	0.4103155044
65	0.4093522547
66	0.4079061857
67	0.4068609832
68	0.4052153945
69	0.4040590336
70	0.4027988307
71	0.4021461232
72	0.4006978032
73	0.3996629544
74	0.3983716907
75	0.3971327577
76	0.3960866469
77	0.3947429507
78	0.3935706968
79	0.3927632571
80	0.3917538603
81	0.3909399325
82	0.3899100802
83	0.3887465232
84	0.3879829849
85	0.3867094155
86	0.386181
87	0.385490587
88	0.3847951207
89	0.3840289425
90	0.3832181509
91	0.382255091
92	0.3810806356
93	0.3803374423
94	0.3795092506
95	0.3785962827
96	0.3775526514
97	0.3766580898
98	0.3756277106
99	0.3748196541
100	0.3738009522
101	0.3729447602
102	0.3718556861
103	0.3710916293
104	0.3702695117
105	0.3692397355
106	0.3688677219
107	0.3682114333
108	0.3674771004
109	0.3670426783
110	0.3664656554
111	0.3655338431
112	0.3648411835
113	0.3637888409
114	0.3631672219
115	0.3625967765
116	0.3621394861
117	0.3613618635
118	0.3609228782
119	0.3602296425
120	0.3595620114
121	0.3587951997
122	0.3582085171
123	0.3575935866
124	0.3573163526
125	0.3565475343
126	0.3560672119
127	0.3548960858
128	0.3541047419
129	0.3533010403
130	0.3526286707
131	0.3513324994
132	0.3507217823
133	0.3501794484
134	0.349501068
135	0.3490564478
136	0.3484415394
137	0.3478897311
138	0.3474998621
139	0.3469127693
140	0.3463151477
141	0.3457714594
142	0.3454199867
143	0.3448414655
144	0.3442209932
145	0.343641571
146	0.3431588443
147	0.3425225533
148	0.3418179077
149	0.3412940271
150	0.3407734432
151	0.3403285053
152	0.3399676632
153	0.339229646
154	0.3389190469
155	0.3384685821
156	0.3380700528
157	0.3371911475
158	0.3367760375
159	0.3361334507
160	0.335664842
161	0.3351854585
162	0.3346696681
163	0.334317235
164	0.3339873987
165	0.3329361883
166	0.3325932993
167	0.3320939097
168	0.3315607778
169	0.3310032206
170	0.3306293245
171	0.3300918862
172	0.3295011168
173	0.3291504683
174	0.3287163381
175	0.3278812449
176	0.3270086766
177	0.3265432763
178	0.3260873793
179	0.3253881557
180	0.3249617403
181	0.3243507286
182	0.3239975574
183	0.3235438032
184	0.3229209336
185	0.3224796951
186	0.3221813842
187	0.3219022793
188	0.3213973553
189	0.3208735896
190	0.3203930941
191	0.3198979811
192	0.3192803681
193	0.3187268652
194	0.3185801606
195	0.3180086863
196	0.3177077003
197	0.3170468704
198	0.3164752119
199	0.3161904746
200	0.3156603095
201	0.3151468285
202	0.3145877528
203	0.3142762851
204	0.3139899577
205	0.3133546164
206	0.3127505813
207	0.312138031
208	0.3115608443
209	0.3112799272
210	0.3104815338
211	0.3099975404
212	0.3094851644
213	0.3090501504
214	0.3084377403
215	0.3079756393
216	0.3075515611
217	0.3069038933
218	0.3064212882
219	0.3060957882
220	0.3056643977
221	0.3053998605
222	0.3051029396
