iter	Passed	Remaining
0	163	81810
1	167	41667
2	170	28218
3	173	21475
4	175	17411
5	178	14679
6	180	12717
7	182	11241
8	185	10093
9	187	9188
10	189	8439
11	192	7812
12	194	7283
13	196	6825
14	198	6428
15	201	6088
16	203	5783
17	205	5510
18	207	5264
19	210	5056
20	212	4857
21	215	4674
22	217	4507
23	219	4354
24	221	4214
25	224	4084
26	226	3969
27	228	3857
28	231	3753
29	233	3655
30	235	3563
31	237	3478
32	240	3398
33	242	3324
34	244	3253
35	247	3185
36	249	3120
37	251	3058
38	253	3001
39	256	2947
40	258	2895
41	260	2843
42	262	2794
43	265	2748
44	267	2702
45	269	2661
46	272	2624
47	274	2587
48	277	2549
49	279	2512
50	281	2477
51	283	2444
52	285	2411
53	288	2383
54	290	2354
55	293	2324
56	295	2296
57	297	2267
58	299	2241
59	302	2216
60	304	2192
61	306	2167
62	309	2143
63	311	2120
64	313	2098
65	315	2076
66	318	2055
67	320	2035
68	322	2015
69	324	1995
70	327	1976
71	329	1957
72	331	1939
73	333	1922
74	336	1905
75	338	1889
76	340	1873
77	343	1857
78	345	1841
79	347	1825
80	349	1809
81	352	1795
82	354	1781
83	357	1768
84	359	1756
85	362	1743
86	364	1729
87	366	1717
88	369	1704
89	371	1692
90	374	1681
91	376	1668
92	378	1656
93	381	1645
94	383	1635
95	386	1624
96	388	1613
97	390	1602
98	392	1590
99	394	1579
100	397	1569
101	399	1559
102	401	1549
103	404	1539
104	406	1529
105	408	1519
106	411	1509
107	413	1500
108	415	1492
109	418	1482
110	420	1472
111	422	1463
112	424	1454
113	426	1445
114	429	1437
115	431	1429
116	434	1420
117	436	1412
118	438	1403
119	440	1395
120	442	1386
121	445	1379
122	447	1372
123	449	1364
124	452	1356
125	454	1348
126	456	1340
127	458	1333
128	461	1326
129	463	1319
130	465	1312
131	468	1304
132	470	1297
133	472	1290
134	474	1283
135	477	1277
136	479	1270
137	481	1263
138	483	1256
139	486	1250
140	488	1243
141	490	1237
142	493	1231
143	495	1225
144	498	1219
145	500	1213
146	502	1207
147	505	1202
148	507	1196
149	510	1190
150	512	1185
151	515	1179
152	517	1173
153	519	1167
154	521	1161
155	524	1156
156	526	1150
157	529	1145
158	531	1139
159	533	1133
160	535	1127
161	537	1122
162	540	1116
163	542	1111
164	544	1105
165	546	1100
166	549	1095
167	551	1090
168	554	1085
169	556	1080
170	558	1075
171	561	1070
172	563	1065
173	566	1060
174	568	1055
175	570	1050
176	573	1045
177	575	1040
178	577	1035
179	579	1030
180	582	1025
181	584	1020
182	586	1016
183	589	1011
184	591	1006
185	593	1002
186	595	997
187	598	992
188	600	988
189	602	983
190	605	979
191	607	974
192	609	970
193	612	965
194	614	961
195	616	956
196	619	953
197	622	948
198	624	944
199	626	940
200	628	935
201	631	931
202	633	926
203	636	922
204	638	918
205	640	914
206	643	910
207	645	906
208	647	902
209	650	898
210	653	894
211	655	890
212	657	886
213	659	881
214	662	877
215	664	873
216	667	870
217	669	866
218	672	862
219	674	858
220	676	854
221	678	850
222	681	846
223	683	842
224	686	838
225	688	834
226	690	830
227	693	826
228	695	822
229	698	819
230	700	816
231	703	812
232	705	808
233	707	804
234	710	800
235	712	797
236	715	793
237	717	790
238	720	786
239	722	782
240	724	778
241	727	775
242	729	771
243	732	768
244	734	764
245	736	760
246	739	756
247	741	753
248	744	750
249	746	746
250	749	743
251	751	739
252	753	735
253	755	732
254	758	728
255	761	725
256	763	721
257	765	718
258	768	714
259	770	711
260	772	707
261	774	703
262	777	700
263	779	696
264	781	693
265	783	689
266	786	686
267	788	682
268	791	679
269	793	676
270	796	672
271	798	669
272	801	666
273	803	662
274	805	659
275	808	656
276	810	652
277	813	649
278	815	646
279	817	642
280	820	639
281	822	635
282	825	632
283	827	629
284	829	625
285	831	622
286	834	619
287	836	615
288	838	612
289	841	609
290	843	605
291	846	602
292	848	599
293	850	595
294	852	592
295	855	589
296	857	586
297	859	582
298	862	579
299	864	576
300	866	573
301	868	569
302	871	566
303	873	563
304	876	560
305	878	556
306	880	553
307	882	550
308	885	547
309	887	543
310	890	540
311	892	537
312	894	534
313	896	531
314	899	528
315	901	524
316	904	521
317	906	518
318	908	515
319	911	512
320	913	509
321	915	506
322	917	502
323	920	500
324	922	496
325	925	493
326	927	490
327	929	487
328	931	484
329	934	481
330	936	478
331	939	475
332	941	472
333	943	469
334	946	466
335	949	463
336	951	460
337	954	457
338	956	454
339	958	451
340	961	448
341	963	445
342	966	442
343	968	439
344	971	436
345	973	433
346	976	430
347	978	427
348	981	424
349	983	421
350	986	418
351	988	415
352	990	412
353	993	409
354	995	406
355	998	403
356	1001	401
357	1003	398
358	1006	395
359	1008	392
360	1011	389
361	1013	386
362	1016	383
363	1018	380
364	1021	377
365	1023	374
366	1026	371
367	1028	369
368	1031	366
369	1034	363
370	1036	360
371	1038	357
372	1041	354
373	1043	351
374	1046	348
375	1048	345
376	1051	343
377	1053	340
378	1056	337
379	1059	334
380	1062	331
381	1065	329
382	1067	326
383	1070	323
384	1073	320
385	1076	317
386	1079	315
387	1082	312
388	1084	309
389	1087	306
390	1089	303
391	1092	300
392	1094	298
393	1097	295
394	1099	292
395	1101	289
396	1104	286
397	1106	283
398	1109	280
399	1111	277
400	1114	275
401	1116	272
402	1119	269
403	1121	266
404	1123	263
405	1126	260
406	1128	257
407	1131	255
408	1133	252
409	1135	249
410	1138	246
411	1141	243
412	1144	241
413	1146	238
414	1148	235
415	1151	232
416	1153	229
417	1155	226
418	1158	223
419	1160	221
420	1162	218
421	1165	215
422	1167	212
423	1169	209
424	1172	206
425	1174	204
426	1177	201
427	1179	198
428	1181	195
429	1184	192
430	1186	189
431	1189	187
432	1191	184
433	1193	181
434	1195	178
435	1198	175
436	1200	173
437	1203	170
438	1205	167
439	1207	164
440	1210	161
441	1212	159
442	1214	156
443	1216	153
444	1219	150
445	1221	147
446	1223	145
447	1226	142
448	1228	139
449	1230	136
450	1232	133
